50Hz,55.17
63Hz,57.71
80Hz,61.02
100Hz,62.96
125Hz,66.45
160Hz,70.35
200Hz,73.65
250Hz,71.76
315Hz,68.77
400Hz,65.07
500Hz,63.98
630Hz,60.46
800Hz,58.47
1000Hz,55.31
1250Hz,50.09
1600Hz,50.16
2000Hz,46.83
2500Hz,43.63
3150Hz,41.37
4000Hz,39.29
5000Hz,34.99
Tot A,69.98
Tot C,78.42
Tot Lin,78.48
