50Hz,28.97
63Hz,28.55
80Hz,27.68
100Hz,27.52
125Hz,26.71
160Hz,25.41
200Hz,25.31
250Hz,24.13
315Hz,23.36
400Hz,22.78
500Hz,22.41
630Hz,22.42
800Hz,22.39
1000Hz,22.9
1250Hz,23.52
1600Hz,24.57
2000Hz,25.61
2500Hz,26.42
3150Hz,26.52
4000Hz,25.71
5000Hz,24.52
Tot A,36.21
Tot C,39.43
Tot Lin,41.29
